"TRACT","ward","households","tract_total","allocation","tract_shortname"
"17031221300",1,1367,1367,1,"2213"
"17031221400",1,1339,1339,1,"2214"
"17031221500",1,1407,1407,1,"2215"
"17031221600",32,1423,1423,1,"2216"
"17031222200",32,937,937,1,"2222"
"17031222500",1,558,558,1,"2225"
"17031222600",1,707,707,1,"2226"
"17031222700",1,808,904,0.893805309734513,"2227"
"17031222700",26,96,904,0.106194690265487,"2227"
"17031222800",1,334,354,0.943502824858757,"2228"
"17031222800",26,20,354,0.0564971751412429,"2228"
"17031222900",1,229,309,0.741100323624595,"2229"
"17031222900",26,80,309,0.258899676375405,"2229"
"17031230100",26,600,600,1,"2301"
"17031230200",26,632,632,1,"2302"
"17031230300",26,270,270,1,"2303"
"17031230400",26,780,780,1,"2304"
"17031230500",26,1112,1142,0.973730297723292,"2305"
"17031230500",37,30,1142,0.0262697022767075,"2305"
"17031230600",26,1031,2003,0.514727908137793,"2306"
"17031230600",36,7,2003,0.00349475786320519,"2306"
"17031230600",37,965,2003,0.481777333999002,"2306"
"17031230700",26,1537,1727,0.889982628836132,"2307"
"17031230700",27,57,1727,0.0330052113491604,"2307"
"17031230700",37,133,1727,0.0770121598147076,"2307"
"17031230800",26,368,368,1,"2308"
"17031230900",26,2056,2056,1,"2309"
"17031231100",27,384,384,1,"2311"
"17031231200",27,1277,1881,0.678894205209995,"2312"
"17031231200",37,604,1881,0.321105794790005,"2312"
"17031231500",27,1664,2054,0.810126582278481,"2315"
"17031231500",37,390,2054,0.189873417721519,"2315"
"17031240200",32,811,811,1,"2402"
"17031240300",2,196,605,0.32396694214876,"2403"
"17031240300",32,409,605,0.67603305785124,"2403"
"17031240500",2,354,1358,0.260677466863034,"2405"
"17031240500",32,1004,1358,0.739322533136966,"2405"
"17031240600",1,655,655,1,"2406"
"17031240700",1,660,660,1,"2407"
"17031240800",1,694,694,1,"2408"
"17031240900",26,519,519,1,"2409"
"17031241000",1,560,916,0.611353711790393,"2410"
"17031241000",26,356,916,0.388646288209607,"2410"
"17031241100",1,888,1642,0.540803897685749,"2411"
